non_shiftable_load,outdoor_dry_bulb_temperature_predicted_1,outdoor_dry_bulb_temperature_predicted_2,outdoor_dry_bulb_temperature_predicted_3,outdoor_relative_humidity_predicted_1,outdoor_relative_humidity_predicted_2,outdoor_relative_humidity_predicted_3,diffuse_solar_irradiance_predicted_1,diffuse_solar_irradiance_predicted_2,diffuse_solar_irradiance_predicted_3,direct_solar_irradiance_predicted_1,direct_solar_irradiance_predicted_2,direct_solar_irradiance_predicted_3,electricity_pricing_predicted_1,electricity_pricing_predicted_2,electricity_pricing_predicted_3,hour,day_type,electricity_pricing,outdoor_dry_bulb_temperature,solar_generation,carbon_intensity,outdoor_relative_humidity,diffuse_solar_irradiance,direct_solar_irradiance,month
1.3966833,20.0,21.1,22.2,78,76,68,0,192,13,0,395,13,0.22,0.22,0.54,19,2,0.54,22.8,20.479166,0.2257806,68,27,147,8
9.918213e-08,19.4,22.8,21.1,84,66,78,0,404,0,0,609,0,0.22,0.22,0.54,20,2,0.54,22.8,0.0,0.22176008,61,0,0,8
9.7529096e-08,19.4,24.4,20.6,84,64,78,0,611,0,0,730,0,0.22,0.22,0.22,21,2,0.22,20.0,0.0,0.21804756,84,0,0,8
9.918213e-08,19.4,23.9,20.6,84,66,73,0,778,0,0,793,0,0.22,0.22,0.22,22,2,0.22,20.6,0.0,0.20633468,78,0,0,8
9.918213e-08,18.9,25.0,20.0,87,62,76,0,897,0,0,811,0,0.22,0.22,0.22,23,2,0.22,20.6,0.0,0.19263186,78,0,0,8
9.918213e-08,19.4,25.0,18.9,84,58,84,27,958,0,144,815,0,0.22,0.22,0.22,24,2,0.22,19.4,0.0,0.17944553,79,0,0,8
9.918213e-08,21.1,25.0,19.4,76,58,81,192,960,0,395,819,0,0.22,0.22,0.22,1,3,0.22,20.0,0.0,0.16495918,78,0,0,8
9.918213e-08,22.8,24.4,20.0,66,58,81,404,901,0,609,812,0,0.22,0.22,0.22,2,3,0.22,19.4,0.0,0.15730144,84,0,0,8
9.918213e-08,24.4,25.0,19.4,64,56,84,611,790,0,730,771,0,0.22,0.22,0.22,3,3,0.22,19.4,0.0,0.15902838,84,0,0,8
9.918213e-08,23.9,23.9,18.9,66,64,87,778,632,0,793,604,0,0.22,0.54,0.22,4,3,0.22,19.4,0.0,0.15689933,84,0,0,8
9.918213e-08,25.0,23.3,18.9,62,64,87,897,362,0,811,293,0,0.22,0.54,0.22,5,3,0.22,18.9,0.0,0.15738352,87,0,0,8
9.969076e-08,25.0,22.8,18.9,58,64,87,958,124,13,815,31,7,0.22,0.54,0.22,6,3,0.22,19.4,6.5125,0.16790247,84,27,144,8
0.015183425,25.0,22.2,20.0,58,68,81,960,13,80,819,13,5,0.22,0.54,0.22,7,3,0.22,21.1,33.029167,0.17872274,76,192,395,8
0.31670004,24.4,21.1,21.1,58,78,76,901,0,418,812,0,512,0.22,0.54,0.22,8,3,0.22,22.8,95.0125,0.20311522,66,404,609,8
1.3032666,25.0,20.6,23.9,56,78,64,790,0,616,771,0,736,0.22,0.22,0.22,9,3,0.22,24.4,211.79584,0.21381462,64,611,730,8
2.5682666,23.9,20.6,25.6,64,73,60,632,0,778,604,0,793,0.54,0.22,0.22,10,3,0.22,23.9,340.425,0.21551497,66,778,793,8
1.1945833,23.3,20.0,23.3,64,76,71,362,0,897,293,0,739,0.54,0.22,0.22,11,3,0.22,25.0,497.02084,0.2312306,62,897,811,8
1.3531,22.8,18.9,22.2,64,84,71,124,0,720,31,0,276,0.54,0.22,0.22,12,3,0.22,25.0,582.4625,0.24023743,58,958,815,8
2.128,22.2,19.4,22.2,68,81,71,13,0,474,13,0,66,0.54,0.22,0.22,13,3,0.22,25.0,629.625,0.24554762,58,960,819,8
2.9029,21.1,20.0,22.2,78,81,73,0,0,441,0,0,30,0.54,0.22,0.22,14,3,0.22,24.4,638.3333,0.24369626,58,901,812,8
2.5867055666666667,20.6,19.4,21.7,78,84,76,0,0,328,0,0,18,0.22,0.22,0.22,15,3,0.22,25.0,603.0125,0.24565277,56,790,771,8
2.270511133333333,20.6,18.9,20.6,73,87,81,0,0,446,0,0,206,0.22,0.22,0.54,16,3,0.54,23.9,520.8875,0.24907608,64,632,604,8
1.9543167,20.0,18.9,20.0,76,87,81,0,0,437,0,0,482,0.22,0.22,0.54,17,3,0.54,23.3,394.57083,0.24751402,64,362,293,8
0.23120005,18.9,18.9,20.0,84,87,78,0,13,239,0,7,325,0.22,0.22,0.54,18,3,0.54,22.8,216.3875,0.24996853,64,124,31,8
9.880066e-08,19.4,20.0,19.4,81,81,81,0,80,23,0,5,135,0.22,0.22,0.54,19,3,0.54,22.2,18.829166,0.251276,68,13,13,8
9.918213e-08,20.0,21.1,19.4,81,76,79,0,418,0,0,512,0,0.22,0.22,0.54,20,3,0.54,21.1,0.0,0.24560243,78,0,0,8
9.918213e-08,19.4,23.9,19.4,84,64,84,0,616,0,0,736,0,0.22,0.22,0.22,21,3,0.22,20.6,0.0,0.23783484,78,0,0,8
9.918213e-08,18.9,25.6,18.9,87,60,84,0,778,0,0,793,0,0.22,0.22,0.22,22,3,0.22,20.6,0.0,0.21481025,73,0,0,8
9.918213e-08,18.9,23.3,18.9,87,71,87,0,897,0,0,739,0,0.22,0.22,0.22,23,3,0.22,20.0,0.0,0.1966851,76,0,0,8
9.918213e-08,18.9,22.2,20.0,87,71,68,13,720,0,7,276,0,0.22,0.22,0.22,24,3,0.22,18.9,0.0,0.175584,84,0,0,8
9.918213e-08,20.0,22.2,18.9,81,71,84,80,474,0,5,66,0,0.22,0.22,0.22,1,4,0.22,19.4,0.0,0.17025222,81,0,0,8
9.918213e-08,21.1,22.2,20.0,76,73,78,418,441,0,512,30,0,0.22,0.22,0.22,2,4,0.22,20.0,0.0,0.15808403,81,0,0,8
9.918213e-08,23.9,21.7,19.4,64,76,81,616,328,0,736,18,0,0.22,0.22,0.22,3,4,0.22,19.4,0.0,0.15693438,84,0,0,8
9.921392e-08,25.6,20.6,19.4,60,81,81,778,446,0,793,206,0,0.22,0.54,0.22,4,4,0.22,18.9,0.0,0.1608465,87,0,0,8
0.16690005,23.3,20.0,19.4,71,81,81,897,437,0,739,482,0,0.22,0.54,0.22,5,4,0.22,18.9,0.0,0.16770287,87,0,0,8
0.37108332,22.2,20.0,19.4,71,78,79,720,239,18,276,325,52,0.22,0.54,0.22,6,4,0.22,18.9,3.8166666,0.16900943,87,13,7,8
0.41593334,22.2,19.4,20.0,71,81,76,474,23,111,66,135,47,0.22,0.54,0.22,7,4,0.22,20.0,33.879166,0.1827239,81,80,5,8
0.48873332,22.2,19.4,20.0,73,79,78,441,0,218,30,0,28,0.22,0.54,0.22,8,4,0.22,21.1,93.92083,0.2001486,76,418,512,8
1.0086334,21.7,19.4,20.6,76,84,73,328,0,355,18,0,88,0.22,0.22,0.22,9,4,0.22,23.9,221.9875,0.20599447,64,616,736,8
1.2675667,20.6,18.9,21.1,81,84,73,446,0,386,206,0,41,0.54,0.22,0.22,10,4,0.22,25.6,364.21667,0.2118524,60,778,793,8
0.44953334,20.0,18.9,21.7,81,87,73,437,0,615,482,0,262,0.54,0.22,0.22,11,4,0.22,23.3,482.71667,0.2260207,71,897,739,8
1.8291667,20.0,20.0,21.7,78,68,70,239,0,958,325,0,749,0.54,0.22,0.22,12,4,0.22,22.2,570.9792,0.22795987,71,720,276,8
2.4162333,19.4,18.9,21.7,81,84,73,23,0,960,135,0,819,0.54,0.22,0.22,13,4,0.22,22.2,622.7167,0.2254461,71,474,66,8
2.5852916500000003,19.4,20.0,21.1,79,78,76,0,0,901,0,0,812,0.54,0.22,0.22,14,4,0.22,22.2,635.5833,0.22483824,73,441,30,8
2.75435,19.4,19.4,20.6,84,81,75,0,0,784,0,0,771,0.22,0.22,0.22,15,4,0.22,21.7,604.79584,0.23203483,76,328,18,8
2.775,18.9,19.4,20.0,84,81,78,0,0,626,0,0,698,0.22,0.22,0.54,16,4,0.54,20.6,516.6875,0.2323185,81,446,206,8
2.59095,18.9,19.4,20.0,87,81,78,0,0,438,0,0,580,0.22,0.22,0.54,17,4,0.54,20.0,382.3375,0.234056,81,437,482,8
2.4160333,20.0,19.4,19.4,68,79,79,0,18,242,0,52,319,0.22,0.22,0.54,18,4,0.54,20.0,202.85417,0.23350044,78,239,325,8
2.2407832,18.9,20.0,19.4,84,76,79,0,111,22,0,47,129,0.22,0.22,0.54,19,4,0.54,19.4,16.154167,0.22279812,81,23,135,8
2.1395333,20.0,20.0,19.4,78,78,76,0,218,0,0,28,0,0.22,0.22,0.54,20,4,0.54,19.4,0.0,0.2189764,79,0,0,8
2.7544668,19.4,20.6,19.4,81,73,76,0,355,0,0,88,0,0.22,0.22,0.22,21,4,0.22,19.4,0.0,0.21173024,84,0,0,8
2.7236166,19.4,21.1,19.4,81,73,76,0,386,0,0,41,0,0.22,0.22,0.22,22,4,0.22,18.9,0.0,0.19274442,84,0,0,8
1.3486333,19.4,21.7,20.0,81,73,73,0,615,0,0,262,0,0.22,0.22,0.22,23,4,0.22,18.9,0.0,0.16745,87,0,0,8
1.3118583,19.4,21.7,18.9,79,70,78,18,958,0,52,749,0,0.22,0.22,0.22,24,4,0.22,20.0,0.0,0.15570733,68,0,0,8
0.32428333,20.0,21.7,20.0,76,73,68,111,960,0,47,819,0,0.22,0.22,0.22,1,5,0.22,18.9,0.0,0.15013929,84,0,0,8
1.0728166,20.0,21.1,19.4,78,76,73,218,901,0,28,812,0,0.22,0.22,0.22,2,5,0.22,20.0,0.0,0.14473735,78,0,0,8
0.32325,20.6,20.6,20.0,73,75,65,355,784,0,88,771,0,0.22,0.22,0.22,3,5,0.22,19.4,0.0,0.1524545,81,0,0,8
0.32686666,21.1,20.0,20.0,73,78,63,386,626,0,41,698,0,0.22,0.54,0.22,4,5,0.22,19.4,0.0,0.15228155,81,0,0,8
0.32085,21.7,20.0,20.0,73,78,63,615,438,0,262,580,0,0.22,0.54,0.22,5,5,0.22,19.4,0.0,0.16260153,81,0,0,8
0.3873,21.7,19.4,20.0,70,79,63,958,242,9,749,319,0,0.22,0.54,0.22,6,5,0.22,19.4,5.2708335,0.16399032,79,18,52,8
1.0531334,21.7,19.4,20.0,73,79,63,960,22,144,819,129,168,0.22,0.54,0.22,7,5,0.22,20.0,33.433334,0.17502496,76,111,47,8
1.6359167,21.1,19.4,21.1,76,76,59,901,0,152,812,0,11,0.22,0.54,0.22,8,5,0.22,20.0,101.02917,0.18512607,78,218,28,8
1.6890666,20.6,19.4,21.7,75,76,57,784,0,427,771,0,210,0.22,0.22,0.22,9,5,0.22,20.6,223.27083,0.19491634,73,355,88,8
1.9958333,20.0,19.4,21.1,78,76,68,626,0,618,698,0,343,0.54,0.22,0.22,10,5,0.22,21.1,364.19168,0.20418933,73,386,41,8
1.8122667,20.0,20.0,21.1,78,73,66,438,0,810,580,0,572,0.54,0.22,0.22,11,5,0.22,21.7,488.875,0.22145621,73,615,262,8
1.72756336,19.4,18.9,22.2,79,78,61,242,0,875,319,0,593,0.54,0.22,0.22,12,5,0.22,21.7,580.6625,0.21505424,70,958,749,8
1.64286002,19.4,20.0,22.8,79,68,61,22,0,677,129,0,259,0.54,0.22,0.22,13,5,0.22,21.7,632.3958,0.20845915,73,960,819,8
1.55815668,19.4,19.4,22.2,76,73,66,0,0,786,0,0,497,0.54,0.22,0.22,14,5,0.22,21.1,640.8958,0.20262869,76,901,812,8
1.4734533399999998,19.4,20.0,22.2,76,65,61,0,0,711,0,0,569,0.22,0.22,0.22,15,5,0.22,20.6,608.9,0.19823301,75,784,771,8
1.38875,19.4,20.0,21.7,76,63,61,0,0,526,0,0,436,0.22,0.22,0.4,16,5,0.54,20.0,528.4167,0.19353756,78,626,698,8
2.00315,20.0,20.0,20.6,73,63,68,0,0,356,0,0,333,0.22,0.22,0.4,17,5,0.54,20.0,404.23334,0.19759627,78,438,580,8
2.8486533,18.9,20.0,20.0,78,63,70,0,9,193,0,0,195,0.22,0.22,0.4,18,5,0.54,19.4,232.53,0.2107975,79,242,319,8
1.2497833,20.0,20.0,19.4,68,63,73,0,144,17,0,168,77,0.22,0.22,0.4,19,5,0.54,19.4,14.366667,0.21276861,79,22,129,8
0.51661664,19.4,21.1,19.4,73,59,76,0,152,0,0,11,0,0.22,0.22,0.4,20,5,0.54,19.4,0.0,0.21097414,76,0,0,8
0.5230833,20.0,21.7,18.9,65,57,78,0,427,0,0,210,0,0.22,0.22,0.22,21,5,0.22,19.4,0.0,0.18958405,76,0,0,8
0.7349499666666667,20.0,21.1,19.4,63,68,79,0,618,0,0,343,0,0.22,0.22,0.22,22,5,0.22,19.4,0.0,0.15812041,76,0,0,8
0.9468166333333334,20.0,21.1,19.4,63,66,79,0,810,0,0,572,0,0.22,0.22,0.22,23,5,0.22,20.0,0.0,0.15155447,73,0,0,8
1.1586833,20.0,22.2,18.3,63,61,84,9,875,0,0,593,0,0.22,0.22,0.22,24,5,0.22,18.9,0.0,0.13622218,78,0,0,8
1.0481334,20.0,22.8,18.3,63,61,84,144,677,0,168,259,0,0.22,0.22,0.22,1,6,0.22,20.0,0.0,0.12023289,68,0,0,8
0.91405,21.1,22.2,17.2,59,66,87,152,786,0,11,497,0,0.22,0.22,0.22,2,6,0.22,19.4,0.0,0.11686636,73,0,0,8
1.0607667,21.7,22.2,17.2,57,61,84,427,711,0,210,569,0,0.22,0.22,0.22,3,6,0.22,20.0,0.0,0.12123874,65,0,0,8
0.6264333,21.1,21.7,17.2,68,61,84,618,526,0,343,436,0,0.22,0.4,0.22,4,6,0.22,20.0,0.0,0.1168065,63,0,0,8
0.51935,21.1,20.6,17.2,66,68,84,810,356,0,572,333,0,0.22,0.4,0.22,5,6,0.22,20.0,0.0,0.11777603,63,0,0,8
2.05595,22.2,20.0,17.8,61,70,80,875,193,21,593,195,126,0.22,0.4,0.22,6,6,0.22,20.0,4.8083334,0.122667514,63,9,0,8
0.38273335,22.8,19.4,18.9,61,73,75,677,17,178,259,77,387,0.22,0.4,0.22,7,6,0.22,20.0,32.595833,0.11922021,63,144,168,8
1.3047333,22.2,19.4,20.0,66,76,70,786,0,365,497,0,483,0.22,0.4,0.22,8,6,0.22,21.1,100.2,0.12713692,59,152,11,8
1.65955,22.2,18.9,20.6,61,78,68,711,0,573,569,0,602,0.22,0.22,0.22,9,6,0.22,21.7,223.85417,0.1422218,57,427,210,8
1.0151,21.7,19.4,20.6,61,79,68,526,0,739,436,0,657,0.4,0.22,0.22,10,6,0.22,21.1,366.67084,0.15895283,68,618,343,8
2.8487666,20.6,19.4,21.7,68,79,63,356,0,862,333,0,709,0.4,0.22,0.22,11,6,0.22,21.1,492.4125,0.16855264,66,810,572,8
1.9472166,20.0,18.3,22.2,70,84,61,193,0,934,195,0,749,0.4,0.22,0.22,12,6,0.22,22.2,581.0208,0.17453809,61,875,593,8
1.3979833,19.4,18.3,22.2,73,84,61,17,0,942,77,0,771,0.4,0.22,0.22,13,6,0.22,22.8,633.2833,0.17656593,61,677,259,8
2.6798167,19.4,17.2,22.2,76,87,61,0,0,895,0,0,812,0.4,0.22,0.22,14,6,0.22,22.2,645.05414,0.17817704,66,786,497,8
1.2298334,18.9,17.2,21.7,78,84,66,0,0,785,0,0,771,0.22,0.22,0.22,15,6,0.22,22.2,617.8333,0.17906882,61,711,569,8
2.7432666,19.4,17.2,21.1,79,84,68,0,0,620,0,0,680,0.22,0.22,0.4,16,6,0.4,21.7,536.0875,0.17723949,61,526,436,8
2.5729416166666668,19.4,17.2,20.6,79,84,70,0,0,416,0,0,477,0.22,0.22,0.4,17,6,0.4,20.6,406.35,0.18189801,68,356,333,8
2.4026166333333334,18.3,17.8,20.0,84,80,68,0,21,183,0,126,173,0.22,0.22,0.4,18,6,0.4,20.0,234.225,0.18725535,70,193,195,8
2.23229165,18.3,18.9,19.4,84,75,70,0,178,15,0,387,66,0.22,0.22,0.4,19,6,0.4,19.4,15.416667,0.18949196,73,17,77,8
2.0619666666666667,17.2,20.0,18.9,87,70,75,0,365,0,0,483,0,0.22,0.22,0.4,20,6,0.4,19.4,0.0,0.18843023,76,0,0,8
1.8916416833333327,17.2,20.6,18.3,84,68,81,0,573,0,0,602,0,0.22,0.22,0.22,21,6,0.22,18.9,0.0,0.18712461,78,0,0,8
1.7213167,17.2,20.6,18.3,84,68,84,0,739,0,0,657,0,0.22,0.22,0.22,22,6,0.22,19.4,0.0,0.17121895,79,0,0,8
1.0226667,17.2,21.7,18.3,84,63,87,0,862,0,0,709,0,0.22,0.22,0.22,23,6,0.22,19.4,0.0,0.15409464,79,0,0,8
0.743075,17.8,22.2,18.3,80,61,78,21,934,0,126,749,0,0.22,0.22,0.22,24,6,0.22,18.3,0.0,0.14622422,84,0,0,8
0.42406666,18.9,22.2,17.8,75,61,84,178,942,0,387,771,0,0.22,0.22,0.22,1,7,0.22,18.3,0.0,0.14251432,84,0,0,8
0.58453333,20.0,22.2,17.8,70,61,84,365,895,0,483,812,0,0.22,0.22,0.22,2,7,0.22,17.2,0.0,0.1409229,87,0,0,8
0.54045,20.6,21.7,17.2,68,66,84,573,785,0,602,771,0,0.22,0.22,0.22,3,7,0.22,17.2,0.0,0.13805278,84,0,0,8
0.37853333,20.6,21.1,17.2,68,68,84,739,620,0,657,680,0,0.22,0.4,0.22,4,7,0.22,17.2,0.0,0.14076443,84,0,0,8
0.41631666,21.7,20.6,17.2,63,70,81,862,416,0,709,477,0,0.22,0.4,0.22,5,7,0.22,17.2,0.0,0.15049617,84,0,0,8
0.41616666,22.2,20.0,17.8,61,68,80,934,183,18,749,173,108,0.22,0.4,0.22,6,7,0.22,17.8,4.3416667,0.16000995,80,21,126,8
0.42356667,22.2,19.4,18.9,61,70,75,942,15,181,771,66,397,0.22,0.4,0.22,7,7,0.22,18.9,29.4625,0.17179501,75,178,387,8
0.43265,22.2,18.9,20.0,61,75,70,895,0,369,812,0,471,0.22,0.4,0.22,8,7,0.22,20.0,98.229164,0.19232084,70,365,483,8
0.5618167,21.7,18.3,21.0,66,81,64,785,0,541,771,0,520,0.22,0.22,0.22,9,7,0.22,20.6,223.35417,0.19825311,68,573,602,8
0.85648334,21.1,18.3,21.7,68,84,66,620,0,711,680,0,568,0.4,0.22,0.22,10,7,0.22,20.6,366.44168,0.20196563,68,739,657,8
1.2786167,20.6,18.3,22.2,70,87,64,416,0,873,477,0,727,0.4,0.22,0.22,11,7,0.22,21.7,490.69168,0.20601249,63,862,709,8
1.3697444666666667,20.0,18.3,22.8,68,78,59,183,0,934,173,0,749,0.4,0.22,0.22,12,7,0.22,22.2,582.975,0.2091158,61,934,749,8
1.4608722333333333,19.4,17.8,22.2,70,84,61,15,0,936,66,0,759,0.4,0.22,0.22,13,7,0.22,22.2,632.89374,0.21177243,61,942,771,8
1.552,18.9,17.8,22.2,75,84,59,0,0,896,0,0,812,0.4,0.22,0.22,14,7,0.22,22.2,648.81665,0.20919389,61,895,812,8
1.57345,18.3,17.2,21.7,81,84,63,0,0,779,0,0,771,0.22,0.22,0.22,15,7,0.22,21.7,615.80414,0.2019597,66,785,771,8
1.8438667,18.3,17.2,21.7,84,84,66,0,0,621,0,0,692,0.22,0.22,0.54,16,7,0.4,21.1,526.85,0.19910625,68,620,680,8
1.6728667,18.3,17.2,20.6,87,81,68,0,0,417,0,0,549,0.22,0.22,0.54,17,7,0.4,20.6,395.3375,0.20060748,70,416,477,8
1.5784833,18.3,17.8,20.0,78,80,70,0,18,186,0,108,214,0.22,0.22,0.54,18,7,0.4,20.0,226.45833,0.20029357,68,183,173,8
1.2407833,17.8,18.9,19.4,84,75,73,0,181,14,0,397,79,0.22,0.22,0.54,19,7,0.4,19.4,11.683333,0.20097925,70,15,66,8
1.2977834,17.8,20.0,18.3,84,70,81,0,369,0,0,471,0,0.22,0.22,0.54,20,7,0.4,18.9,0.0,0.20128506,75,0,0,8
1.3730333,17.2,21.0,18.9,84,64,78,0,541,0,0,520,0,0.22,0.22,0.22,21,7,0.22,18.3,0.0,0.19162135,81,0,0,8
1.3935167,17.2,21.7,18.3,84,66,78,0,711,0,0,568,0,0.22,0.22,0.22,22,7,0.22,18.3,0.0,0.17962454,84,0,0,8
1.265575,17.2,22.2,18.3,81,64,78,0,873,0,0,727,0,0.22,0.22,0.22,23,7,0.22,18.3,0.0,0.16730984,87,0,0,8
